"codigoCentro","nroSeccion","nroCircuito","letraCircuito","nombreCircuito","nroMesa","letraMesa","fechaHora"
"ROSARIO","20","420","A","CAPITAN BERMUDEZ","7112","","2015-06-15 03:21:17"
"ROSARIO","13","308","","ROSARIO SEC. 3A","3661","","2015-06-15 03:17:29"
"SANTAFE","09","018","","ALTO VERDE","2653","","2015-06-15 03:13:19"
"SANTAFE","11","052","","SAN JERONIMO NORTE","3284","","2015-06-15 03:12:41"
"SANTAFE","10","020","B","SANTO TOME","2871","","2015-06-15 03:10:35"
"SANTAFE","03","128","B","RAFAELA (SEC. 2A)","529","","2015-06-15 03:09:57"
"SANTAFE","09","007","","STA.FE (SEC. 2A)","2097","","2015-06-15 03:09:18"
"SANTAFE","09","038","","STA.FE (BO.EL POZO)","3198","","2015-06-15 03:06:40"
"ROSARIO","14","353","","ROSARIO SEC.12A LUDUEÑA","5384","","2015-06-15 03:06:24"
"ROSARIO","13","329","","ROSARIO SEC. 5A","3941","","2015-06-15 03:04:51"
"SANTAFE","11","055","","ESPERANZA","3345","","2015-06-15 03:00:10"
"SANTAFE","09","015","","STA.FE (SUB.COM. 3A)","2424","","2015-06-15 02:59:42"
"SANTAFE","17","275","","SAN JAVIER","6571","","2015-06-15 02:57:57"
"ROSARIO","15","362","E","VILLA GOB GALVEZ","6331","","2015-06-15 02:57:38"
"ROSARIO","20","418","A","TIMBUES","7009","","2015-06-15 02:57:32"
"SANTAFE","09","010","","STA.FE (SEC. 3A)","2169","","2015-06-15 02:57:27"
"ROSARIO","04","384","","VILLA CONSTITUCION","908","","2015-06-15 02:55:10"
"SANTAFE","09","019","","STA.FE (SEC.8A GUADALUPE)","2715","","2015-06-15 02:53:15"
"SANTAFE","09","015","","STA.FE (SUB.COM. 3A)","2432","","2015-06-15 02:52:11"
"SANTAFE","10","039","","ANGEL GALLARDO","3207","","2015-06-15 02:50:06"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2556","","2015-06-15 02:49:30"
"SANTAFE","10","027","","LAGUNA PAIVA","2993","","2015-06-15 02:47:39"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2470","","2015-06-15 02:47:32"
"ROSARIO","14","344","","ROSARIO SEC.9A L.DE LA T.","4438","","2015-06-15 02:47:22"
"ROSARIO","14","349","C","ROSARIO SEC.19A TRIANGULO","5286","","2015-06-15 02:45:53"
"ROSARIO","14","348","","ROSARIO SEC.11A R.S.PEÑA","4915","","2015-06-15 02:44:49"
"ROSARIO","13","334","","ROSARIO SEC. 6A","4073","","2015-06-15 02:43:14"
"SANTAFE","22","254","","VERA","7546","","2015-06-15 02:42:44"
"ROSARIO","14","359","A","ROSARIO SEC.21A M.S.MART.","6091","","2015-06-15 02:41:12"
"SANTAFE","10","020","","SANTO TOME","2749","","2015-06-15 02:38:02"
"SANTAFE","16","195","","SOLEDAD","6551","","2015-06-15 02:37:06"
"SANTAFE","09","007","","STA.FE (SEC. 2A)","2100","","2015-06-15 02:33:51"
"ROSARIO","14","359","","ROSARIO SEC.15A T.SUIZO","5881","","2015-06-15 02:32:38"
"SANTAFE","10","020","B","SANTO TOME","2860","","2015-06-15 02:31:34"
"ROSARIO","14","353","A","ROSARIO SEC.17A ANT.ARG.","5511","","2015-06-15 02:29:04"
"ROSARIO","15","362","E","VILLA GOB GALVEZ","6308","","2015-06-15 02:24:50"
"SANTAFE","09","011","A","STA.FE (SUB.COM. 2A)","2214","","2015-06-15 02:23:14"
"SANTAFE","09","009","","STA.FE (SEC. 3A)","2159","","2015-06-15 02:21:47"
"ROSARIO","14","359","A","ROSARIO SEC.21A M.S.MART.","6134","","2015-06-15 02:21:09"
"ROSARIO","04","384","","VILLA CONSTITUCION","874","","2015-06-15 02:20:47"
