"codigoCentro","nroSeccion","nroCircuito","letraCircuito","nombreCircuito","nroMesa","letraMesa","fechaHora"
"ROSARIO","14","353","","ROSARIO SEC.12A LUDUEÑA","5410","","2015-06-14 20:38:08"
"ROSARIO","06","401","B","HUGHES","1450","","2015-06-14 20:37:46"
"ROSARIO","14","349","","ROSARIO SEC.13A B.VISTA","5002","","2015-06-14 20:37:38"
"ROSARIO","14","342","","ROSARIO SEC.10A ALBERDI","4242","","2015-06-14 20:32:08"
"SANTAFE","03","118","","SUNCHALES","367","","2015-06-14 20:31:20"
"SANTAFE","19","210","","SAN JUSTO","6906","","2015-06-14 20:24:08"
"SANTAFE","17","278","","COSTA DEL TOBA","6640","","2015-06-14 20:23:53"
"SANTAFE","10","023","","RECREO","2938","","2015-06-14 20:16:32"
"SANTAFE","07","221","A","CAMPO RAMSEYER","1475","","2015-06-14 20:15:26"
"SANTAFE","11","053","","FRANCK","3297","","2015-06-14 20:12:25"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2580","","2015-06-14 20:10:01"
"SANTAFE","03","143","","BELLA ITALIA","716","","2015-06-14 20:08:49"
"SANTAFE","09","015","","STA.FE (SUB.COM. 3A)","2441","","2015-06-14 19:55:37"
"ROSARIO","20","417","","MAIZALES","6993","","2015-06-14 19:48:23"
"ROSARIO","04","384","B","PAVON","937","","2015-06-14 19:46:39"
"ROSARIO","15","356","","PEREZ","5756","E","2015-06-14 19:16:14"
